interest_category_id,interest_category_name,level,placements,special_industries,sub_category_ids
18100,Storage Products,2,,"HOUSING,EMPLOYMENT,CREDIT",
18102,Glasses & Drinkware,2,,"HOUSING,EMPLOYMENT,CREDIT",
18104,Coffee Accessories,2,,,
18105,Kitchen Accessories,2,,"HOUSING,EMPLOYMENT,CREDIT",
18106,Cleaning Appliances,2,,,
18107,Tissues & Wet Wipes,2,,,
18108,Laundry,2,,"HOUSING,EMPLOYMENT,CREDIT",
18109,Leather Care,2,,"HOUSING,EMPLOYMENT,CREDIT",
18110,Cleaning Supplies,2,,,
18111,Toys,2,,"HOUSING,EMPLOYMENT,CREDIT",
18112,Pest Control,2,,"HOUSING,EMPLOYMENT,CREDIT",
19100,Petfood,2,,"HOUSING,EMPLOYMENT,CREDIT",
19101,Pet Healthcare,2,,,
19102,Pet Household Products,2,,"HOUSING,EMPLOYMENT,CREDIT",
19103,Pet Grooming,2,,"HOUSING,EMPLOYMENT,CREDIT",
19105,Pet Toys,2,,,
19106,Pet Travel Accessories,2,,"HOUSING,EMPLOYMENT,CREDIT",
20100,Social,2,,"HOUSING,EMPLOYMENT,CREDIT","20100100,20100101,20100103"
20101,Audio & Video Players,2,,"HOUSING,EMPLOYMENT,CREDIT",20101101.20101100
20102,News & Reading,2,,,20102101.20102100
20103,Photography,2,,"HOUSING,EMPLOYMENT,CREDIT",20103100.20103100
20104,Education,2,,"HOUSING,EMPLOYMENT,CREDIT","20104100,20104101,20104102,20104103"
20105,Online Shopping,2,,"HOUSING,EMPLOYMENT,CREDIT",20105101.20105100
20106,Financial Services,2,,"HOUSING,EMPLOYMENT,CREDIT","20106100,20106102,20106103"
20107,Life & Leisure,2,,"HOUSING,EMPLOYMENT,CREDIT","20107102,20107103,20107107"
20108,Travel,2,,"HOUSING,EMPLOYMENT,CREDIT",20108100.20108100
20109,Health & Fitness,2,,"HOUSING,EMPLOYMENT,CREDIT","20109100,20109101,20109102"
20110,Business & Productivity,2,,"HOUSING,EMPLOYMENT,CREDIT",20110100.20110100
20111,Parenting,2,,,20111100
20112,Tools,2,,"HOUSING,EMPLOYMENT,CREDIT","20112101,20112102,20112103,20112105,20112109,20112110"
21100,Interior Design & Decorating Services,2,,,
